animalBirthday,animalDescription,animalJpName,animalName,animalPicture,animalSex,animalSpecies,animalZooID
19/4/2005,原種は中近東の各地に生息している野生ヤギである。,ヤギ,メキノ,http://www.kobe-ojizoo.jp//data/animal/20140301160349.jpeg,male,Capra hircus domesticus ,4
1/6/2009,体は暗青灰色、首は白色、顔は羽毛がなく赤色。雌雄同色。,マナヅル,タトラ,http://www.kobe-ojizoo.jp//data/animal/20140327190131.jpeg,male,Grus vipio ,28
7/6/2015,亜種のヤエヤマイシガメは日本固有種。甲長は約20cm。,ミナミイシガメ,チトイ,http://www.kobe-ojizoo.jp//data/animal/20140125110434.jpeg,female,Mauremys mutica ,19
9/11/1993,半水生で陸によく上がる。,マレーハコガメ,ケムテ,http://www.kobe-ojizoo.jp//data/animal/20140131202954.jpeg,female,Cuora amboinensis ,27
25/9/1997,尾は丸みがあり、厚い毛で覆われている。,ユキヒョウ,タレメ,http://www.kobe-ojizoo.jp//data/animal/20180513152755.jpeg,male,Panthera uncia ,3
6/9/1996,小型のげっ歯類などを食べる。,マヌルネコ,ウカケ,http://www.kobe-ojizoo.jp//data/animal/20130316211421.jpeg,female,Felis manul ,9
11/2/2009,明確なリーダーのない10頭～数百頭の群れをつくる。昼行性。,ボリビアリスザル,オタコ,http://www.kobe-ojizoo.jp//data/animal/20181224160809.jpeg,female,Saimiri boliviensis ,19
19/2/2020,鋭い爪とくちばしを持ち、小型哺乳類や鳥類などを捕食する。,ホンドフクロウ,タオロ,http://www.kobe-ojizoo.jp//data/animal/20130316211045.jpeg,female,九州以北に留鳥として分布。平地の森にも生息 ,9
15/5/1993,小型哺乳類や鳥類を食べる。,ボブキャット,モトロ,http://www.kobe-ojizoo.jp//data/animal/20170201133637.jpeg,female,Felis rufus ,26
3/7/1993,日中は地上で採食し、夜は樹上で過ごす。,ホロホロチョウ,ウトア,http://www.kobe-ojizoo.jp//data/animal/20140301175753.jpeg,female,Numida meleagris ,27
6/2/2004,体色は全体的に赤茶～灰褐色。オーストラリア大陸に生息する亜種より暗色で頚部の赤色はほぼない。,ベネットアカクビワラビー,ウネシ,http://www.kobe-ojizoo.jp//data/animal/20190930171923.jpeg,male,Macropus rufogriseus rufogriseus ,6
30/7/2015,類人猿の中ではゴリラについで体が大きく、毛は赤茶色で長い。オスは成長すると頬の両側が広く隆起する。,ボルネオオランウータン,シナキ,http://www.kobe-ojizoo.jp//data/animal/20190702091722.jpeg,male,Pongo pygmaeus pygmaeus ,18
11/2/1996,オスは体長250～300cm、体重350～650kg。,ホッキョクグマ,トレツ,http://www.kobe-ojizoo.jp//data/animal/20191120195510.jpeg,male,Ursus maritimus ,21
13/2/1992,日本には冬鳥として渡来し、北海道から南西諸島まで広く見られる。,ユリカモメ,ミトチ,http://www.kobe-ojizoo.jp//data/animal/20140327190348.jpeg,male,Larus ridibundus ,30
21/10/2010,オスメスのつがいから10頭前後までの小さな群れで生息する。,ヒワコンゴウインコ,テカト,http://www.kobe-ojizoo.jp//data/animal/20181101113930.jpeg,female,Ara ambigus ,11
11/3/2000,テナガザルの中では大型の種で、体色は全身が黒い。,フクロテナガザル,サタマ,http://www.kobe-ojizoo.jp//data/animal/20130316205738.jpeg,female,Hylobates syndactylus ,26
18/10/2008,魚・イカ・甲殻類を食べる。,フンボルトペンギン,マシム,http://www.kobe-ojizoo.jp//data/animal/20130316210204.jpeg,female,Spheniscus humboldti ,26
26/4/2002,果実・葉・昆虫・鳥類・小型哺乳類などを食べる。,ビントロング,カシサ,http://www.kobe-ojizoo.jp//data/animal/20170219164846.jpeg,female,Arctictis binturong ,3
1/11/1990,長いかぎ爪を持ち、それを木に引っ掛けてぶら下がる。,フタユビナマケモノ,テレオ,http://www.kobe-ojizoo.jp//data/animal/20130316205948.jpeg,female,Choloepus didactylus ,10
4/9/2014,3～40頭の群れで生活する。,フサオマキザル,メンヲ,http://www.kobe-ojizoo.jp//data/animal/20130316205838.jpeg,female,Cebus apella ,26
6/3/1994,群れで生息する。,ベニイロフラミンゴ,ミオラ,http://www.kobe-ojizoo.jp//data/animal/20130316210340.jpeg,female,Phoenicopterus ruber ruber ,27
18/3/1991,高地の草原や森林などにすむ。,ヒョウモンガメ,ノニマ,http://www.kobe-ojizoo.jp//data/animal/20140131203318.jpeg,male,Stigmochelys pardolis  ,23
26/7/2007,原種は不明だが、染色体数からアルガリやムフロンではないかといわれている。,ヒツジ(コリデール),シツオ,http://www.kobe-ojizoo.jp//data/animal/20140125155104.jpeg,male,Ovis aries ,9
6/5/2005,小さな家族単位の群れをつくる。,ブラッザグエノン,ワアチ,http://www.kobe-ojizoo.jp//data/animal/20140131194359.jpeg,male,Cercopithecus neglectus ,1
6/9/2000,胸部に白い三日月模様があるのが特徴。雑食性で、主に果実や木の実を食する。,ニッポンツキノワグマ,カサン,http://www.kobe-ojizoo.jp//data/animal/20130316204131.jpeg,female,Ursus thibetanus japonicus ,17
16/11/2005,主食は果実など。体色は主に黒紫色で、雌雄同色。,ニシムラサキエボシドリ,トサシ,http://www.kobe-ojizoo.jp//data/animal/20140328154100.jpeg,male,Musophaga violacea ,8
21/4/1991,半水棲で、日光浴を好み陸上にも上がる。,ニシキマゲクビガメ,ツムレ,http://www.kobe-ojizoo.jp//data/animal/20140125112441.jpeg,male,Emydura subglobosa ,30
6/12/2012,体色は黒く毛は全体に少ない。ゴリラ、オランウータンに比べると体は小さい。,チンパンジー,マママ,http://www.kobe-ojizoo.jp//data/animal/20130316202111.jpeg,male,Pan troglodytes ,24
6/3/1998,縞は蹄に向かって薄くなり、縞と縞の間にはうすい陰縞があるのが特徴。,チャップマンシマウマ,ワカク,http://www.kobe-ojizoo.jp//data/animal/20130316202004.jpeg,male,Equus burchelli Chapmani ,14
22/7/2012,※現在ニホンカモシカは神戸市立森林植物園にて飼育しています。,ニホンカモシカ,ノロエ,http://www.kobe-ojizoo.jp//data/animal/20150720141448.jpeg,male,Capricornis crispus  ,21
26/5/2010,小型のワニで最大全長約2m。,ニシアフリカコガタワニ,ナルウ,http://www.kobe-ojizoo.jp//data/animal/20140131203435.jpeg,female,Osteolaemus tetraspis ,4
26/7/2002,大きな群れで生息する。,セキセイインコ,カトシ,http://www.kobe-ojizoo.jp//data/animal/20130316201531.jpeg,male,Melopsittacus undulatus ,6
17/8/2008,体色にはバリエーションがあるが、いずれも顔のまわりと手足の先が白い。,シロテテナガザル,タレア,http://www.kobe-ojizoo.jp//data/animal/20130316201053.jpeg,female,Hylobates lar ,1
6/5/1994,樹木の多い乾燥した地域の茂みや低木にすみ、夜行性。,ショウガラゴ,イシツ,http://www.kobe-ojizoo.jp//data/animal/20140131194214.jpeg,female,Galago senegalensis ,18
27/11/2004,夜行性でのろのろ動く樹上生活者。森林の生い茂ったところにしか生息しない。,スローロリス,ネテマ,http://www.kobe-ojizoo.jp//data/animal/20140131194304.jpeg,male,Nycticebus coucang ,26
7/5/2015,現生の鳥類では最大。卵の重さは約1.5kg。,ダチョウ,ツクノ,http://www.kobe-ojizoo.jp//data/animal/20130316201657.jpeg,male,Struthio camelus ,4
14/9/2011,大陸では渡りをして越冬するが、北海道のものは留鳥。,タンチョウ,オラモ,http://www.kobe-ojizoo.jp//data/animal/20140327190104.jpeg,male,Grus japonensis ,12
10/9/2002,普通は単独で生活し、竹の葉やタケノコを好むが昆虫などの小動物も食べる。,ジャイアントパンダ,クトト,http://www.kobe-ojizoo.jp//data/animal/20141008113614.jpeg,male,Ailuropoda melanoleuca ,11
13/4/2007,ヒグマの一種であるが、エゾヒグマより小型で丸みがある。,チベットヒグマ(ウマグマ),ラク,http://www.kobe-ojizoo.jp//data/animal/20130316201849.jpeg,male,Ursus arctos pruinosus ,1
20/9/2003,胸は淡色で、腹には黒点が不規則に点在する。,ジャガー,テラネ,http://www.kobe-ojizoo.jp//data/animal/20130316200548.jpeg,male,Panthera onca ,30
12/9/1990,魚類・両生類・昆虫類等を食べる。,シュバシコウ,マナト,http://www.kobe-ojizoo.jp//data/animal/20140301163444.jpeg,female,Ciconia ciconia ,22
28/10/2008,果実や・種子・草・昆虫などを食べる。,シマリス,タテチ,http://www.kobe-ojizoo.jp//data/animal/20130316200340.jpeg,male,Tamias sibiricus ssp. ,24
14/12/2010,アフリカ中部の沼地や湿地に生息する。,シタツンガ,シト,http://www.kobe-ojizoo.jp//data/animal/20130316195900.jpeg,female,Tragelaphus spekeii ,5
27/10/1990,小型の哺乳類や鳥類を食べる。,シベリアオオヤマネコ,チテニ,http://www.kobe-ojizoo.jp//data/animal/20180513151503.jpeg,female,Lynx lynx lynx ,12
1/3/2006,種子・木の実・果実・花などを食べる。,コバタン,オメオ,http://www.kobe-ojizoo.jp//data/animal/20140125172243.jpeg,male,Cacatua sulphurea ,23
20/5/1996,カワウソ類のなかで最小。,コツメカワウソ,ナカチ,http://www.kobe-ojizoo.jp//data/animal/20130316195011.jpeg,male,Aonyx cinerea ,17
3/2/2012,体長約60cm。尾長約40cm。,シセンレッサーパンダ,ノシム,http://www.kobe-ojizoo.jp//data/animal/20130316214755.jpeg,male,Ailurus fulgens styani ,27
6/5/2010,子どもが生まれるとオスが抱き、授乳のときはメスに渡す習性がある。,コモンマーモセット,ルモワ,http://www.kobe-ojizoo.jp//data/animal/20140301113604.jpeg,female,Callithrix jacchus ,24
13/9/2002,明確なリーダーのない10～50頭、時に300頭になる大きな群れをつくる。,コモンリスザル,ロテメ,http://www.kobe-ojizoo.jp//data/animal/20130316195409.jpeg,female,Saimiri sciureus ,6
23/4/1998,雄は白、雌は黒の斑点模様がある(幼鳥は雌雄とも斑点模様)。,シロフクロウ,ヲツ,http://www.kobe-ojizoo.jp//data/animal/20130316201153.jpeg,male,Nyctea scandiaca ,20
26/5/1996,日本では本州・四国・九州で繁殖。,ゴイサギ,チミテ,http://www.kobe-ojizoo.jp//data/animal/20140301163352.jpeg,female,Nycticorax nycticorax ,3
20/5/2004,ユーカリの葉や芽を食べる。,コアラ,ナト,http://www.kobe-ojizoo.jp//data/animal/20141215152908.jpeg,female,Phascolarctos cinereus ,17
29/4/2011,オーストラリアの平原に生息する。,エミュー,ウエ,http://www.kobe-ojizoo.jp//data/animal/20130316192053.jpeg,female,Dromaius novehollandiae ,2
11/11/2016,日本最大の陸棲動物。,エゾヒグマ,ラリ,http://www.kobe-ojizoo.jp//data/animal/20130316191655.jpeg,male,Ursus arctos yesoensis ,9
13/4/2005,草原地帯(プレーリー)にトンネルを掘って巣穴をつくり、コテリーという家族群を形成する。一夫多妻制。,オグロプレーリードッグ,クニキ,http://www.kobe-ojizoo.jp//data/animal/20140131193841.jpeg,female,Cynomys ludovicianus ,15
27/5/2004,繁殖期の雄の体は鮮色であるが、雌は全体的に灰白色。,オシドリ,タナサ,http://www.kobe-ojizoo.jp//data/animal/20130316192740.jpeg,female,Aix galericulata ,18
11/8/2008,海岸・河口・港等に生息する。小型の魚や甲殻類を食べる。,ウミネコ,タノト,http://www.kobe-ojizoo.jp//data/animal/20140327190254.jpeg,male,Larus crassirostris ,4
26/1/2017,果実を主食とする。,エジプトルーセットオオコウモリ,ノカウ,http://www.kobe-ojizoo.jp//data/animal/20140331173333.jpeg,female,Rousettus aegyptiacus ,16
30/4/2002,海ワシの仲間で主食は魚類だが鳥類や哺乳類も捕食する。,オジロワシ,ミタ,http://www.kobe-ojizoo.jp//data/animal/20130316192930.jpeg,male,Haliaeetus albicilla ,6
15/11/2016,原種はイベリア半島、南フランス、北アフリカに生息していたアナウサギ。,ウサギ,タツケ,http://www.kobe-ojizoo.jp//data/animal/20140131193658.jpeg,female,Oryctolagus cuniculus domesticus ,10
17/3/1991,黒色の地に黄色の星型の放射状の模様は腹甲にもあり、ホウシャガメと並んで美しいカメ。,インドホシガメ,アウル,http://www.kobe-ojizoo.jp//data/animal/20140131203044.jpeg,female,Geochelone elegans ,30
7/1/2005,家族単位の小さな集団で生息し、木の根や球根、果実などを食べる。,アフリカタテガミヤマアラシ,テクテ,http://www.kobe-ojizoo.jp//data/animal/20130316185441.jpeg,female,Hystrix cristata ,21
13/6/2010,地表棲で飛翔することは苦手であり、昼行性で、夜間は樹上で休む。,インドクジャク(シロクジャク),ケテネ,http://www.kobe-ojizoo.jp//data/animal/20140125155419.jpeg,male,Pavo cristatus ,9
19/10/1995,シベリア、中国東北部に生息する。,アムールトラ,ツシシ,http://www.kobe-ojizoo.jp//data/animal/20130316185907.jpeg,female,Panthera tigris altaica ,12
29/6/2007,果実を主食とする。,インドオオコウモリ,テレ,http://www.kobe-ojizoo.jp//data/animal/20140331173411.jpeg,female,Pteropus giganteus ,14
30/11/1992,オスの首にたてがみ状の長い毛がある。,アムールヒョウ,レネル,http://www.kobe-ojizoo.jp//data/animal/20130316190303.jpeg,male,Panthera pardus orientalis ,23
5/1/2019,体色は黒く、顔の周囲と、背から腰にかけての長い毛、尾の房毛は白い。,アビシニアコロブス,オツニ,http://www.kobe-ojizoo.jp//data/animal/20130316185304.jpeg,female,Colobus guereza ,7
11/1/1994,カンガルー類で最大。,アカカンガルー,ヲラモ,http://www.kobe-ojizoo.jp//data/animal/20140125155149.jpeg,female,Macropus  rufus ,18
25/12/2018,草、木の葉や枝、果実などを食べる。体重は5トンを超えることがある。一般的に牙はオスが大きく、メスは小さいが、オス・メスともに生えないこともある。妊娠期間は約22ヵ月。森林伐採・農地開拓による生息域の破壊などにより、生息数が減少している。,アジアゾウ,ウトケ,http://www.kobe-ojizoo.jp//data/animal/20130316190923.jpeg,male,Elephas maximus ,29
3/5/2015,つがいか20頭までの小さな群れで生息する。,アカコンゴウインコ,トイリ,http://www.kobe-ojizoo.jp//data/animal/20140125172038.jpeg,male,Ara macao ,11
2/12/1998,赤みを帯びた足が特徴で、成長すると甲羅の長さが40cmを超えるものもいる。,アカアシガメ,カマウ,http://www.kobe-ojizoo.jp//data/animal/20140131202856.jpeg,male,Chelonoidis carbonaria ,11
28/11/1999,体長約50cm、尾長約50cm。,アカハナグマ,ケツタ,http://www.kobe-ojizoo.jp//data/animal/20130316184633.jpeg,female,Nasua nasua ,4
